Radius;Image96;Image97;Image98;Image99;Image100;Image101;Image102;Image103;Image104;Image105;Image106;Image107;Image108;Image109;Image110;Image111;Image112;Image113;Image114;Image115
10;1;1;1;7;3;1;2;1;1;5;4;1;2;1;1;1;1;2;1;1
11;3;1;1;6;4;2;3;1;2;3;5;1;2;1;1;1;1;2;1;1
12;3;1;1;7;3;1;11;1;3;2;4;1;5;1;3;2;3;4;1;3
13;5;1;5;6;3;3;8;1;6;7;12;1;7;1;9;2;2;5;2;4
14;7;1;5;8;2;3;5;1;11;4;8;1;5;1;17;6;8;4;10;4
15;8;1;5;22;2;3;8;4;14;5;7;1;5;1;13;5;9;10;16;3
16;11;3;10;18;3;3;10;2;15;7;9;1;5;1;10;7;10;6;9;9
17;11;2;12;16;2;8;8;2;18;8;11;3;7;1;11;7;12;6;9;8
18;12;3;14;15;7;9;6;7;17;14;8;3;9;2;17;9;10;5;7;12
19;15;5;13;15;5;14;6;5;23;22;11;5;6;2;12;6;15;9;8;9
20;12;5;20;14;4;13;10;12;20;23;15;3;6;1;11;7;9;12;8;11
21;11;9;24;14;4;11;7;14;22;20;13;7;4;2;10;7;12;14;9;18
22;15;10;18;15;6;15;4;9;24;15;8;12;4;3;10;7;13;18;17;20
23;21;12;16;21;5;12;3;8;22;17;11;14;5;3;9;9;9;18;16;17
24;19;15;28;18;7;10;5;7;22;11;13;13;5;6;16;8;11;24;13;16
25;16;13;20;20;7;13;4;14;22;10;12;22;7;10;13;10;11;21;9;15
26;10;14;19;14;7;17;8;16;17;8;9;24;5;16;9;13;7;18;8;17
27;8;16;15;12;7;16;9;10;17;9;8;19;6;13;7;14;6;11;6;15
28;7;16;17;9;6;10;7;5;18;8;9;27;8;14;8;13;5;14;5;15
29;5;16;19;6;7;13;4;4;16;8;7;22;8;9;7;11;5;20;2;12
30;8;14;20;8;9;9;2;6;15;7;7;29;4;13;11;14;6;22;2;10
31;6;14;21;8;11;14;2;8;13;9;7;28;6;10;10;12;8;22;2;15
32;8;23;20;6;8;11;3;7;14;7;7;27;3;11;11;11;9;18;3;9
33;4;31;36;6;6;11;2;6;10;8;8;27;4;12;8;7;9;20;5;10
34;3;28;37;6;4;11;3;7;13;7;8;24;2;12;13;8;7;17;4;9
35;3;36;30;5;5;15;3;8;12;5;7;30;2;10;11;9;6;18;4;9
36;2;34;25;6;5;11;3;7;11;4;8;29;2;10;11;10;7;16;5;6
37;2;34;33;5;6;6;3;6;9;4;6;32;2;10;10;7;7;19;3;5
38;2;32;21;5;4;10;3;7;7;5;8;25;2;8;9;9;6;14;5;4
39;3;24;16;4;5;12;2;12;8;6;8;25;2;9;9;9;8;13;6;5
40;2;27;10;3;5;11;2;9;8;5;9;20;2;8;9;7;7;11;3;4
41;2;23;12;4;7;17;3;6;9;5;8;24;2;10;8;6;5;10;4;5
42;2;25;6;3;2;15;3;8;7;5;7;20;2;10;7;5;5;11;3;6
43;2;20;7;3;3;17;3;6;6;6;7;14;2;8;8;5;5;10;3;5
44;3;19;6;4;5;18;3;4;3;7;6;9;2;10;10;6;6;11;5;5
45;4;19;7;5;6;19;5;5;9;6;4;10;2;9;10;5;6;9;3;5
46;2;14;4;4;3;21;3;7;6;4;5;10;2;8;9;6;3;11;4;3
47;2;10;2;4;2;18;4;9;4;4;6;5;2;7;10;5;3;15;3;3
48;2;11;1;4;3;16;3;8;4;5;4;3;2;8;8;5;3;17;2;3
49;1;11;1;5;3;19;4;8;3;5;4;6;1;6;6;4;2;15;2;4
50;1;13;2;4;7;17;4;7;3;4;5;6;1;6;8;5;5;8;2;2
51;1;11;2;4;7;15;3;7;3;10;5;5;1;5;6;5;3;8;2;3
52;1;10;4;4;6;17;2;8;1;4;6;3;1;5;6;4;3;8;2;3
53;1;12;5;4;7;18;1;6;1;4;9;3;1;5;7;5;5;5;3;3
54;1;12;8;3;9;10;1;8;1;5;10;6;1;7;7;4;3;6;3;5
55;2;9;9;4;10;6;2;6;1;4;8;4;1;10;7;4;3;5;2;3
56;2;9;6;4;11;5;5;6;2;5;6;5;1;7;8;4;2;8;3;3
57;1;10;8;4;6;4;4;7;1;7;4;1;1;3;7;5;2;3;2;4
58;1;7;8;3;9;9;1;6;1;6;4;0;1;4;9;3;2;5;2;4
59;1;9;8;3;5;5;3;6;0;5;3;0;1;5;7;4;2;6;3;3
60;1;14;6;2;3;4;2;5;0;6;2;0;1;5;7;2;2;5;2;3
61;2;13;3;3;4;6;2;6;0;6;2;0;1;6;5;3;1;9;3;3
62;2;14;3;2;4;7;1;4;0;10;2;0;2;3;6;3;1;5;3;3
63;2;12;1;2;7;4;1;3;0;7;3;0;2;2;4;2;0;4;3;2
64;3;8;2;2;6;4;1;4;0;9;2;0;1;3;7;1;0;5;2;2
65;2;9;3;3;3;4;1;3;0;13;2;0;1;4;6;1;0;5;2;4
66;2;5;1;3;4;3;2;3;0;8;4;0;1;2;4;2;0;5;2;3
67;3;5;2;4;4;4;1;3;0;10;4;0;1;6;4;1;0;5;2;3
68;5;7;1;4;5;4;1;3;0;10;5;0;2;10;3;1;0;7;3;3
69;4;6;0;3;2;4;2;2;0;7;3;0;2;10;3;1;0;4;3;3
70;5;6;0;2;4;4;1;4;0;5;3;0;3;3;3;2;0;3;2;4
71;3;5;0;2;3;5;1;4;0;7;2;0;3;1;3;0;0;3;2;3
72;3;6;0;2;2;6;1;4;0;8;3;0;3;0;2;0;0;3;2;3
73;4;5;0;2;2;6;0;6;0;8;4;0;3;0;4;0;0;2;2;4
74;3;7;0;3;2;5;0;8;0;7;7;0;8;0;3;0;0;3;2;3
75;2;4;0;2;2;5;0;8;0;6;1;0;10;0;2;0;0;3;2;3
76;1;3;0;3;1;7;0;9;0;6;1;0;13;0;3;0;0;2;2;3
77;1;4;0;3;0;4;0;8;0;7;1;0;14;0;2;0;0;2;2;4
78;1;2;0;3;0;2;0;6;0;9;1;0;16;0;2;0;0;2;3;3
79;0;2;0;4;1;2;0;3;0;5;1;0;16;0;3;0;0;2;4;3
80;0;1;0;3;0;1;0;6;0;6;1;0;14;0;3;0;0;1;3;3
81;0;1;0;5;0;1;0;5;0;5;1;0;13;0;3;0;0;0;2;3
82;0;1;0;8;1;2;0;5;0;7;1;0;10;0;2;0;0;0;2;3
83;0;1;0;8;1;1;0;2;0;7;0;0;7;0;1;0;0;0;3;5
84;0;1;0;10;1;2;0;4;0;5;0;0;5;0;1;0;0;0;2;3
85;0;1;0;7;0;0;0;3;0;6;0;0;5;0;2;0;0;1;2;5
86;0;1;0;5;0;0;0;7;0;5;0;0;4;0;2;0;0;0;2;4
87;0;1;0;5;0;0;0;5;0;5;0;0;2;0;2;0;0;0;2;3
88;0;2;0;5;0;0;0;3;0;4;0;0;2;0;2;0;0;0;3;2
89;0;1;0;5;0;0;0;2;0;3;0;0;1;0;2;0;0;0;3;2
90;0;0;0;3;0;0;0;2;0;4;0;0;0;0;3;0;0;0;2;2
91;0;0;0;5;0;0;0;2;0;2;0;1;0;0;3;0;0;0;2;2
92;0;0;0;1;0;0;0;3;0;2;0;0;0;0;3;0;0;0;1;2
93;0;0;0;1;0;0;0;2;0;2;0;0;0;0;2;0;0;0;1;2
94;0;0;0;0;0;0;0;1;0;1;0;0;0;0;2;0;0;0;1;3
95;0;0;0;0;0;0;0;2;0;3;0;0;0;0;3;0;0;0;1;1
96;0;0;0;0;0;0;0;1;0;2;0;0;0;0;3;0;0;0;1;1
97;0;0;0;0;0;0;0;1;0;2;0;0;0;0;3;0;0;0;2;1
98;0;0;0;0;0;0;0;1;0;2;0;0;0;0;4;0;0;0;1;1
99;0;0;0;0;0;0;0;1;0;2;0;0;0;0;4;0;0;0;1;0
100;0;0;0;0;0;0;0;2;0;2;0;0;0;0;1;0;0;0;1;0
101;0;0;0;0;1;0;0;1;0;3;0;0;0;0;2;0;0;0;1;0
102;0;0;0;0;0;0;0;1;0;5;0;0;1;0;2;0;0;0;1;0
103;0;0;0;0;0;0;0;1;0;3;0;0;0;0;2;0;0;0;1;0
